,2000/12,2001/12,2002/12,2003/12,2004/12,2005/06,2005/12,2006/06,2006/12,2007/06,2007/12,2008/06,2008/12,2009/06,2009/12,2010/03,2010/06,2010/09,2010/12,2011/03,2011/06,2011/09,2011/12,2012/03,2012/06,2012/09,2012/12,2013/03
Basic EPS (Continuing),0.00,0.69,0.00,0.00,0.00,0.74,0.00,0.78,0.00,0.11,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.09,0.00,-0.01,-0.21,0.17,0.00,0.00,-0.06,-0.03,-0.03,0.13
Basic EPS (Discontinued),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Basic EPS (Other Gains/Losses),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Basic EPS (Tax Loss Carry Forward),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Continuing),0.00,-0.11,0.00,0.00,0.00,0.74,0.00,0.78,0.00,0.11,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.09,0.00,-0.01,-0.21,0.17,0.00,0.00,-0.06,-0.03,-0.03,0.13
Diluted EPS (Discontinued),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Extraordinary),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Other Gains/Losses),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Tax Loss Carry Forward),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividends Paid Per Share (YTD),0.00,0.00,2.19,2.29,2.46,1.76,2.50,1.59,2.38,1.82,2.71,1.90,2.67,0.85,2.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acquisitions,"-7,640.0",-268.0,-189.0,"-1,972.0",-31.0,-41.0,-53.0,"1,693.0","1,794.0",-62.0,"2,914.0",-2.0,-27.3,"27,163.1","26,868.0",0.0,347.1,0.0,547.9,0.0,369.3,0.0,442.5,0.0,-7.8,0.0,42.0,0.0
basic earnings indicator,N,Y,N,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
capital lease obligations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash at beginning of period,"5,462.0","1,806.0","11,906.0","2,131.0","4,757.0","6,359.0","48,506.0","49,453.0","52,398.0","51,072.0","50,497.0","63,578.0","45,851.4","53,950.8","52,902.7",0.0,"98,279.5",0.0,"101,386.0",0.0,"100,019.3",0.0,"96,727.1",0.0,"134,713.1",0.0,"138,797.0",0.0
common par,"2,087.0","2,055.0","2,282.0","2,529.0","2,721.0","2,504.0","2,443.0","2,638.0","2,799.0","2,871.0","2,843.0","2,873.0","2,175.3","11,215.0","16,910.8",0.0,"16,309.1",0.0,"10,518.3",0.0,"11,047.1",0.0,"10,683.5",0.0,0.0,0.0,"11,379.9",0.0
common stock equity,"20,496.0","15,669.0","16,421.0","17,163.0","19,128.0","16,948.0","17,538.0","18,775.0","21,848.0","22,834.0","24,101.0","21,525.0","13,504.8","55,039.4","69,887.8",0.0,"69,977.6",0.0,"67,485.2","70,967.4","72,099.0","72,244.0","71,295.5","74,941.5","73,240.0","74,544.8","71,102.6","66,073.5"
deferred income taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earnings period indicator,F,F,F,F,F,S,F,S,F,S,F,S,F,S,F,Q,S,N,F,Q,S,N,F,Q,S,N,F,Q
income from tax loss carryforward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
income taxes,0.0,0.0,0.0,0.0,0.0,422.0,0.0,502.0,0.0,435.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,-415.4,0.0,-284.4,"-1,279.4","1,182.1",391.2,445.3,-119.4,352.2,569.2,759.8
minority interest,825.0,"1,452.0","1,178.0","1,297.0","1,143.0",628.0,748.0,806.0,689.0,677.0,564.0,566.0,440.0,"2,643.2","1,338.7",0.0,"1,321.1",0.0,"1,298.0",0.0,"1,022.7",0.0,"1,046.5",0.0,0.0,0.0,"1,107.0",0.0
number of employees,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
