TICKER	NAME	EXCHANGE
XOM	Exxon Mobil Corp.	NYSE
IBM	International Business Machines Corp.	NYSE
CVX	Chevron Corp.	NYSE
GE	General Electric Co.	NYSE
PG	Procter +ACY- Gamble Co.	NYSE
T	AT+ACY-T Inc.	NYSE
JNJ	Johnson +ACY- Johnson	NYSE
PFE	Pfizer Inc.	NYSE
HBC	HSBC Holdings PLC	NYSE
WFC	Wells Fargo +ACY- Co.	NYSE
NVS	Novartis AG	NYSE
BP	BP PLC	NYSE
PM	Philip Morris International Inc.	NYSE
JPM	JPMorgan Chase +ACY- Co.	NYSE
KO	Coca+AC0-Cola Co.	NYSE
RDS.A	Royal Dutch Shell PLC Cl A	NYSE
TM	Toyota Motor Corp.	NYSE
TOT	Total S.A.	NYSE
BHP	BHP Billiton Ltd.	NYSE
MRK	Merck +ACY- Co. Inc.	NYSE
GSK	GlaxoSmithKline PLC	NYSE
VZ	Verizon Communications Inc.	NYSE
SLB	Schlumberger Ltd.	NYSE
WMT	Wal+AC0-Mart Stores Inc.	NYSE
MCD	McDonald's Corp.	NYSE
RDS.B	Royal Dutch Shell PLC B	NYSE
PEP	PepsiCo Inc.	NYSE
COP	ConocoPhillips	NYSE
C	Citigroup Inc.	NYSE
ABT	Abbott Laboratories	NYSE
SI	Siemens AG	NYSE
SNY	Sanofi	NYSE
OXY	Occidental Petroleum Corp.	NYSE
RIO	Rio Tinto PLC	NYSE
BAC	Bank of America Corp.	NYSE
RY	Royal Bank of Canada	NYSE
BRK.B	Berkshire Hathaway Inc. Cl B	NYSE
MTU	Mitsubishi UFJ Financial Group Inc.	NYSE
BRK.A	Berkshire Hathaway Inc. Cl A	NYSE
HD	Home Depot Inc.	NYSE
TD	Toronto+AC0-Dominion Bank	NYSE
DIS	Walt Disney Co.	NYSE
STD	Banco Santander S.A.	NYSE
BBL	BHP Billiton PLC	NYSE
TSM	Taiwan Semiconductor Manufacturing Co.	NYSE
HMC	Honda Motor Co. Ltd.	NYSE
TEF	Telefonica S.A.	NYSE
CAT	Caterpillar Inc.	NYSE
WBK	Westpac Banking Corp.	NYSE
UTX	United Technologies Corp.	NYSE
SAP	SAP AG	NYSE
MO	Altria Group Inc.	NYSE
E	ENI S.p.A.	NYSE
KFT	Kraft Foods Inc. Cl A	NYSE
V	VISA Inc. Cl A	NYSE
AZN	AstraZeneca PLC	NYSE
UNH	UnitedHealth Group Inc.	NYSE
CVS	CVS Caremark Corp.	NYSE
DEO	Diageo PLC	NYSE
SU	Suncor Energy Inc.	NYSE
BNS	Bank of Nova Scotia	NYSE
NVO	Novo Nordisk A.S	NYSE
MMM	3M Co.	NYSE
UPS	United Parcel Service Inc. Cl B	NYSE
EMC	EMC Corp.	NYSE
BMY	Bristol+AC0-Myers Squibb Co.	NYSE
USB	U.S. Bancorp	NYSE
AXP	American Express Co.	NYSE
CHL	China Mobile Ltd.	NYSE
UNP	Union Pacific Corp.	NYSE
HPQ	Hewlett+AC0-Packard Co.	NYSE
UN	Unilever N.V.	NYSE
UBS	UBS AG	NYSE
CAJ	Canon Inc.	NYSE
BA	Boeing Co.	NYSE
PBR	Petroleo Brasileiro S/A	NYSE
GS	Goldman Sachs Group Inc.	NYSE
BUD	Anheuser+AC0-Busch InBev N.V.	NYSE
ABX	Barrick Gold Corp.	NYSE
ABB	ABB Ltd.	NYSE
SMFG	Sumitomo Mitsui Financial Group Inc.	NYSE
BCS	Barclays PLC	NYSE
DD	E.I. DuPont de Nemours +ACY- Co.	NYSE
AMX	America Movil S.A.B. de C.V.	NYSE
F	Ford Motor Co.	NYSE
MA	MasterCard Inc. Cl A	NYSE
DB	Deutsche Bank AG	NYSE
APC	Anadarko Petroleum Corp.	NYSE
UL	Unilever PLC	NYSE
APA	Apache Corp.	NYSE
MON	Monsanto Co.	NYSE
BBVA	Banco Bilbao Vizcaya Argentaria S.A.	NYSE
HON	Honeywell International Inc.	NYSE
CL	Colgate+AC0-Palmolive Co.	NYSE
FCX	Freeport+AC0-McMoRan Copper +ACY- Gold Inc.	NYSE
CNQ	Canadian Natural Resources Ltd.	NYSE
MDT	Medtronic Inc.	NYSE
NKE	Nike Inc. Cl B	NYSE
SPG	Simon Property Group Inc.	NYSE
POT	Potash Corp. of Saskatchewan Inc.	NYSE
DOW	Dow Chemical Co.	NYSE
MFG	Mizuho Financial Group Inc.	NYSE
GG	Goldcorp Inc.	NYSE
LLY	Eli Lilly +ACY- Co.	NYSE
ACN	Accenture PLC Cl A	NYSE
SO	Southern Co.	NYSE
NGG	National Grid PLC	NYSE
EMR	Emerson Electric Co.	NYSE
TWX	Time Warner Inc.	NYSE
BMO	Bank of Montreal	NYSE
NOV	National Oilwell Varco Inc.	NYSE
HAL	Halliburton Co.	NYSE
DE	Deere +ACY- Co.	NYSE
ING	ING Groep N.V.	NYSE
LOW	Lowe's Cos.	NYSE
CNI	Canadian National Railway Co.	NYSE
CEO	CNOOC Ltd.	NYSE
TGT	Target Corp.	NYSE
VALE	Vale S.A.	NYSE
